,test
0,1086.0
1,760.0
2,1950.0
3,1281.0
4,340.0
5,576.0
6,1697.0
7,332.0
8,552.0
9,824.0
10,535.0
11,1050.0
12,453.0
13,2245.0
14,650.0
15,1680.0
16,1430.0
17,249.0
18,229.0
19,326.0
20,857.0
21,1228.0
22,1638.0
23,484.0
24,569.0
25,537.0
26,1575.0
27,179.0
28,378.0
29,203.0
30,625.0
31,362.0
32,1182.0
33,308.0
34,683.0
35,92.0
36,1153.0
37,558.0
38,915.0
39,714.0
40,1909.0
41,769.0
42,1213.0
43,1310.0
44,1809.0
45,536.0
46,585.0
47,392.0
48,1990.0
49,668.0
50,574.0
51,1314.0
52,606.0
53,404.0
54,352.0
55,1255.0
56,992.0
57,570.0
58,0.0
59,1399.0
60,72.0
61,1508.0
62,237.0
63,0.0
64,647.0
65,2924.0
66,1709.0
67,149.0
68,0.0
69,718.0
70,1564.0
71,148.0
72,117.0
73,513.0
74,680.0
75,0.0
76,452.0
77,0.0
78,0.0
79,97.0
80,674.0
81,184.0
82,0.0
83,0.0
84,0.0
85,253.0
86,0.0
87,0.0
88,129.0
89,410.0
90,0.0
91,928.0
92,1356.0
93,132.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,199.0
100,0.0
101,141.0
102,212.0
103,1294.0
104,0.0
105,139.0
106,169.0
107,167.0
108,428.0
109,636.0
110,0.0
111,817.0
112,0.0
113,729.0
114,0.0
115,0.0
116,464.0
117,0.0
118,448.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,1071.0
125,315.0
126,0.0
127,120.0
128,0.0
129,853.0
130,0.0
131,279.0
132,112.0
133,311.0
134,0.0
135,141.0
136,0.0
137,78.0
138,0.0
139,0.0
140,127.0
141,0.0
142,0.0
143,726.0
144,0.0
145,0.0
146,0.0
147,198.0
148,853.0
149,477.0
150,809.0
151,1485.0
152,1059.0
153,1239.0
154,760.0
155,33.0
156,0.0
157,0.0
158,371.0
159,114.0
160,628.0
161,532.0
162,1023.0
163,0.0
164,0.0
165,0.0
166,145.0
167,225.0
168,1835.0
169,1131.0
170,0.0
171,343.0
172,0.0
173,1183.0
174,1599.0
175,1415.0
176,1592.0
177,965.0
178,0.0
179,1527.0
180,1334.0
181,0.0
182,126.0
183,0.0
184,80.0
185,440.0
186,378.0
187,0.0
188,0.0
189,163.0
190,1084.0
191,258.0
192,0.0
193,426.0
194,323.0
195,175.0
196,1224.0
197,105.0
198,282.0
199,1114.0
200,1784.0
201,0.0
202,106.0
203,217.0
204,859.0
205,699.0
206,79.0
207,0.0
208,362.0
209,5.0
210,228.0
211,0.0
212,0.0
213,262.0
214,0.0
215,152.0
216,137.0
217,777.0
218,0.0
219,103.0
220,729.0
221,0.0
222,0.0
223,116.0
224,465.0
225,0.0
226,1237.0
227,77.0
228,238.0
229,1497.0
230,0.0
231,0.0
232,214.0
233,0.0
234,2933.0
235,785.0
236,0.0
237,105.0
238,458.0
239,0.0
240,0.0
241,0.0
242,992.0
243,1031.0
244,1437.0
245,213.0
246,781.0
247,92.0
248,0.0
249,121.0
250,752.0
251,258.0
252,194.0
253,190.0
254,293.0
255,179.0
256,315.0
257,123.0
258,104.0
259,289.0
260,120.0
261,53.0
262,178.0
263,110.0
264,687.0
265,349.0
266,277.0
267,105.0
268,218.0
269,0.0
270,516.0
271,393.0
272,0.0
273,152.0
274,189.0
275,208.0
276,0.0
277,157.0
278,271.0
279,132.0
280,188.0
281,134.0
282,248.0
283,95.0
284,185.0
285,111.0
286,153.0
287,148.0
288,177.0
289,339.0
290,1188.0
291,154.0
292,53.0
293,0.0
294,1006.0
295,48.0
296,116.0
297,104.0
298,505.0
299,97.0
300,479.0
301,484.0
302,173.0
303,100.0
304,248.0
305,62.0
306,96.0
307,101.0
308,70.0
309,171.0
310,96.0
311,61.0
312,0.0
313,124.0
314,108.0
315,74.0
316,110.0
317,58.0
318,187.0
319,228.0
320,311.0
321,190.0
322,237.0
323,198.0
324,148.0
325,301.0
326,84.0
327,293.0
328,240.0
329,124.0
330,0.0
331,599.0
332,413.0
333,365.0
334,815.0
335,118.0
336,38.0
337,0.0
338,119.0
339,0.0
340,22.0
341,302.0
342,0.0
343,486.0
344,0.0
345,0.0
346,15.0
347,293.0
348,414.0
349,709.0
350,174.0
351,210.0
352,54.0
353,0.0
354,1512.0
355,0.0
356,274.0
357,102.0
358,533.0
359,321.0
360,159.0
361,789.0
362,234.0
363,969.0
364,286.0
365,0.0
366,213.0
367,0.0
368,0.0
369,0.0
370,480.0
371,342.0
372,3366.0
373,65.0
374,291.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,999.0
382,9.0
383,56.0
384,341.0
385,132.0
386,138.0
387,32.0
388,47.0
389,0.0
390,0.0
391,0.0
392,917.0
393,43.0
394,0.0
395,49.0
396,587.0
397,44.0
398,247.0
399,289.0
400,476.0
401,0.0
402,0.0
403,165.0
404,286.0
405,209.0
406,216.0
407,665.0
408,81.0
409,209.0
410,242.0
411,25.0
412,252.0
413,103.0
414,0.0
415,238.0
416,278.0
417,550.0
418,0.0
419,67.0
420,32.0
421,10.0
422,888.0
423,0.0
424,0.0
425,126.0
426,0.0
427,5703.0
428,171.0
429,150.0
430,254.0
431,93.0
432,113.0
433,117.0
434,20.0
435,207.0
436,258.0
437,70.0
438,236.0
439,28.0
440,64.0
441,77.0
442,151.0
443,421.0
444,0.0
445,0.0
446,0.0
